Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2011,S12000048,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,83.90191423774107
2011,S12000048,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,964.6085093331956
2011,S12000048,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,856.2988233401179
2011,S12000049,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,3.714381929365315
2011,S12000049,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,0.5387276623921076
2011,S12000049,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,51.92781095333981
2011,S12000049,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,22.483957454367168
2011,S12000049,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,152.76048262471048
2011,S12000049,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,94.42685013099909
2011,S12000049,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1228.56142665914
2011,S12000049,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,985.2114367081232
2011,S12000050,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,1.9964520195538216
2011,S12000050,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2011,S12000050,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,35.16955135222426
2011,S12000050,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,22.00380627045503
2011,S12000050,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,151.7065307248695
2011,S12000050,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,114.62440272113868
2011,S12000050,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,994.3848209331164
2011,S12000050,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1024.838147106271
2012,S92000003,d,0-44 years,,Males,,Cerebrovascular Disease,23,,1.57260763644593,,1.7323151051422612
2012,S92000003,d,0-44 years,,Females,,Cerebrovascular Disease,22,,1.49820079704282,,1.4721797930184088
